,date,code,open,high,low,close,preclose,volume,amount,pctChg
742,2015-01-27,sz.399620,3365.2040,3377.7810,3316.7450,3374.2320,3360.5950,1649828336,33388203008.0000,0.405790
743,2015-01-28,sz.399620,3371.7000,3390.1850,3328.6750,3333.8910,3374.2320,1364895408,29348098304.0000,-1.195556
744,2015-01-29,sz.399620,3313.8160,3348.2670,3305.7240,3326.3070,3333.8910,1569459024,28302433280.0000,-0.227489
745,2015-01-30,sz.399620,3325.9010,3338.9750,3256.0410,3257.7220,3326.3070,1428311568,27379227904.0000,-2.061895
746,2015-02-02,sz.399620,3230.0800,3317.0560,3220.1240,3298.3150,3257.7220,1165332000,24353068288.0000,1.246055
747,2015-02-03,sz.399620,3311.6610,3422.9470,3311.6610,3399.9550,3298.3150,1601913280,36608320512.0000,3.081578
748,2015-02-04,sz.399620,3408.5510,3435.0360,3391.1660,3398.9570,3399.9550,1517910672,33281352704.0000,-0.029355
749,2015-02-05,sz.399620,3405.9070,3494.8210,3384.3670,3421.8330,3398.9570,1921692000,42403739136.0000,0.673029
750,2015-02-06,sz.399620,3423.5910,3445.7090,3333.2100,3347.1510,3421.8330,1635672224,33989860864.0000,-2.182518
751,2015-02-09,sz.399620,3340.8800,3390.6760,3305.9230,3315.7090,3347.1510,1374847616,26725093120.0000,-0.939363
752,2015-02-10,sz.399620,3317.2670,3412.6450,3304.8760,3412.6450,3315.7090,1263099648,25405370880.0000,2.923539
753,2015-02-11,sz.399620,3419.0080,3508.9800,3418.7840,3499.0960,3412.6450,1738301232,34853873664.0000,2.533253
754,2015-02-12,sz.399620,3505.5960,3538.0250,3501.9860,3520.5290,3499.0960,1520153216,31684046336.0000,0.612533
755,2015-02-13,sz.399620,3536.0130,3582.6520,3536.0130,3571.5580,3520.5290,1666415824,36502253056.0000,1.449471
756,2015-02-16,sz.399620,3589.9060,3704.8710,3589.9060,3704.8710,3571.5580,1911804320,43272557312.0000,3.732628
757,2015-02-17,sz.399620,3724.9420,3730.9650,3674.4840,3723.2010,3704.8710,1508112080,36291290624.0000,0.494750
758,2015-02-25,sz.399620,3736.3100,3753.0160,3653.5220,3669.2710,3723.2010,1704333760,39439789568.0000,-1.448483
759,2015-02-26,sz.399620,3664.9380,3687.4440,3621.6790,3685.3970,3669.2710,1601431760,37614871808.0000,0.439487
760,2015-02-27,sz.399620,3686.8460,3756.0500,3681.2310,3749.1400,3685.3970,1957049840,42067900416.0000,1.729608
761,2015-03-02,sz.399620,3758.6120,3836.0080,3742.9560,3833.7340,3749.1400,2487510992,54156178176.0000,2.256357
762,2015-03-03,sz.399620,3809.6910,3831.9750,3764.3280,3766.4790,3833.7340,2658763040,55291721984.0000,-1.754292
763,2015-03-04,sz.399620,3771.6490,3842.8170,3771.6490,3842.1770,3766.4790,2591100928,49839086336.0000,2.009781
764,2015-03-05,sz.399620,3845.8020,3858.9490,3815.5570,3855.4710,3842.1770,2417997536,52115664128.0000,0.346000
765,2015-03-06,sz.399620,3864.0420,3873.4120,3756.2410,3760.0770,3855.4710,2247684304,46977066496.0000,-2.474251
766,2015-03-09,sz.399620,3744.3500,3827.8760,3723.4750,3827.2530,3760.0770,1735652032,38011761152.0000,1.786560
767,2015-03-10,sz.399620,3841.1450,3935.4550,3841.1450,3915.9260,3827.2530,2011155376,47191449856.0000,2.316886
768,2015-03-11,sz.399620,3931.4480,3934.0640,3890.7310,3897.7140,3915.9260,1914777664,45106994432.0000,-0.465073
769,2015-03-12,sz.399620,3909.6750,3930.6550,3828.8280,3879.7940,3897.7140,1890628576,45134655488.0000,-0.459761
770,2015-03-13,sz.399620,3896.1860,3973.3000,3883.5420,3971.6160,3879.7940,1795775904,42895352064.0000,2.366673
771,2015-03-16,sz.399620,4012.7770,4139.3750,4012.7770,4136.6290,3971.6160,2673884016,64343928064.0000,4.154806
772,2015-03-17,sz.399620,4158.9070,4182.3060,4116.7970,4158.4920,4136.6290,3707647472,69158047744.0000,0.528529
773,2015-03-18,sz.399620,4156.9600,4251.4650,4132.7110,4247.1890,4158.4920,4378638848,69774168064.0000,2.132907
774,2015-03-19,sz.399620,4241.0550,4262.1910,4210.8570,4261.9840,4247.1890,3470181136,62499426560.0000,0.348346
